id,entry date,level,termination date,college_name,degree,last GPA,transfer credit hours,transfer quality hours,credit hours earned,GPA credit hours,quality poinrts,major,minor,advisor,exit status,WVU_freshman,RN,Comment,P/F hours
700157832,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BSN,3.06,0,0,147,144,442,Nursing,NULL,NULL,graduated,0,1,NULL,0
700157911,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BSN,2.96,0,0,179,172,510,Nursing,NULL,NULL,graduated,0,0,NULL,0
700157993,00:00.0,graduate,00:00.0,West Virginia University at Morgantown,MSN,3.7,0,0,48,48,178,Nursing,NULL,NULL,graduated,0,0,NULL,0
700159466,00:00.0,undergrad,00:00.0,Alderson Broaddus College,BSN,0,0,0,0,0,0,Nursing,NULL,NULL,graduated,0,1,NULL,0
700159466,00:00.0,graduate,00:00.0,West Virginia University at Morgantown,MSN,3.61,0,0,39,0,0,Nursing,NULL,NULL,graduated,0,1,NULL,0
700160586,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BA,3.66,0,0,137,136,498,Biology,NULL,NULL,graduated,0,0,NULL,0
700160683,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BSN,2.87,0,0,0,0,0,Nursing,NULL,NULL,graduated,0,1,NULL,0
700160719,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BA/BS,3.74,0,0,172,162,607,Political Science,NULL,NULL,graduated,0,0,NULL,0
700161138,00:00.0,undergrad,00:00.0,Ohio University,BSN,3.556,0,0,133,133,475.02,Nursing,NULL,NULL,graduated,0,0,NULL,0
700161363,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BSN,0,0,0,0,0,0,Nursing,NULL,NULL,graduated,0,1,NULL,0
700162584,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BA/BS,2.26,0,0,128,110,249,Pscyhology,NULL,NULL,graduated,0,0,NULL,0
700162584,00:00.0,assoc.,00:00.0,County College of Morris,Assoc.,2.5741,0,0,54,54,139,Nursing,NULL,NULL,graduated,0,1,NULL,NULL
700163307,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BSN,0,0,0,0,0,0,Nursing,NULL,NULL,graduated,0,1,NULL,0
700165688,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BA/BS,2.97,0,0,141,122,363,Soc.-Crime & Social Controll,NULL,NULL,graduated,0,0,NULL,0
700166053,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BA/BS,3.28,0,0,149,147,483,Visual Art,Nursing,NULL,graduated,0,0,"Bachelor of Fine Arts, Visual Art",0
700166260,00:00.0,undergrad,00:00.0,Duquesne University,BA/BS,3.4357,0,0,120,42,144,Prof. Communication/Leadership,NULL,NULL,graduated,0,0,NULL,0
700166385,00:00.0,undergrad,00:00.0,Glenville State College,BSN,3.07,93,0,150,145,446,Nursing,NULL,NULL,graduated,0,1,NULL,0
700166389,00:00.0,undergrad,00:00.0,Alderson Broaddus College,BSN,3.78,0,0,190,33,125,Nursing,NULL,NULL,NULL,0,1,NULL,0
700166425,00:00.0,undergrad,00:00.0,Fairmont State University,BA/BS,2.2278,0,0,158,158,352,Biology,NULL,NULL,graduated,0,0,NULL,0
700166472,00:00.0,graduate,00:00.0,West Virginia University at Morgantown,MSN,3.43,0,0,44,44,151,Nursing,NULL,NULL,graduated,0,1,NULL,0
700166572,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BA/BS,3.95,64,0,130,66,261,Child Development,NULL,NULL,graduated,0,0,NULL,0
700166627,00:00.0,undergrad,00:00.0,West Virginia University at Charleston,BSN,3.82,116,25,141,50,191,Nursing,NULL,NULL,graduated,0,1,NULL,0
700169983,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BA/BS,3.4238,0,0,0,0,0,Geography,NULL,NULL,graduated,0,0,"Need help with her GPA, etc. sh",0
800231542,00:00.0,undergrad,00:00.0,Fairmont State University,BA/BS,3.2931,0,0,174,174,573,Biology,NULL,NULL,graduated,0,0,NULL,0
700170827,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BSN,3.41,0,0,168,160,547,Nursing,NULL,NULL,graduated,0,1,NULL,0
700170908,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BA/BS,0,0,0,0,0,0,Sociology & Anthropology,NULL,NULL,graduated,0,0,NULL,0
700170908,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BSN,3.32,0,0,188,175,581,Nursing,NULL,"Godwin, Michele",graduated,0,1,NULL,7
700171164,00:00.0,undergrad,00:00.0,West Virginia University at Parkersburg,Assoc.,2.7045,0,0,88,88,238,Nursing,NULL,NULL,graduated,0,1,NULL,0
700171428,00:00.0,assoc.,00:00.0,Northern Kentucky University,Assoc.,0,0,0,0,0,0,Nursing,NULL,NULL,graduated,0,0,NULL,0
700171428,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BSN,3.75,119,0,135,29,109,Nursing,NULL,NULL,graduated,0,1,NULL,0
700174374,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BA/BS,2.8432,0,0,134,134,381,Journalism,NULL,NULL,graduated,0,0,NULL,0
700174623,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BA/BS,2.8,6,0,131,130,372,Business Administration,NULL,NULL,graduated,0,0,NULL,0
700175714,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BA,3.23,0,0,129,127,410,Psychology,NULL,NULL,graduated,0,0,NULL,0
700175789,00:00.0,assoc.,00:00.0,University of Charleston,Assoc.,2.925,0,0,145,27,79,Nursing,NULL,NULL,graduated,0,1,NULL,0
700175789,00:00.0,undergrad,00:00.0,Bethany College,BA/BS,0,0,0,0,0,0,NULL,NULL,NULL,graduated,0,1,Waiting on official transcripts,0
700175855,00:00.0,undergrad,00:00.0,Salem International University,BA/BS,0,0,0,0,0,0,Oral Communication,NULL,NULL,graduated,0,1,NULL,0
700175855,00:00.0,assoc.,00:00.0,Columbus Technical Institute,Assoc.,0,0,0,0,0,0,Nursing,NULL,NULL,NULL,0,0,NULL,0
700175855,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BSN,0,0,0,0,0,0,Nursing,NULL,NULL,graduated,0,1,NULL,0
700176850,00:00.0,undergrad,00:00.0,Ohio Valley College,BA/BS,3.74,0,0,152,141,527,Psychology,NULL,NULL,graduated,0,0,NULL,0
700177552,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BA/BS,3.57,0,0,135,135,483,Marketing,NULL,NULL,graduated,0,0,NULL,0
700178549,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BSN,3.37,0,0,137,13500,455,Nursing,NULL,NULL,graduated,0,1,NULL,0
700178902,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BSN,3.75,0,0,0,0,0,NULL,NULL,NULL,NULL,0,1,Waiting on official transcript.,0
700179277,00:00.0,assoc.,00:00.0,West Virginia University at Parkersburg,Assoc.,2.69,0,0,114,114,307,Nursing,NULL,NULL,graduated,0,1,NULL,0
700180696,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BA/BS,3.2265,0,0,128,128,413,Animal and Veterinary Sciences,NULL,NULL,graduated,0,0,NULL,0
700180716,00:00.0,assoc.,00:00.0,West Virginia University at Parkersburg,Assoc.,2.8076,0,0,130,130,365,Nursing,NULL,NULL,graduated,0,1,NULL,0
700182151,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BSN,3.24,81,0,151,133,431,Nursing,NULL,NULL,graduated,0,1,NULL,2
700182200,00:00.0,undergrad,NULL,Mountain State University,NULL,3.7028,0,0,141,138,511,Business Administration,NULL,NULL,NULL,0,0,To Graduate December 2005,0
700182393,00:00.0,undergrad,00:00.0,Glenville State College,BSN,3.23,141,NULL,141,139,449,Nursing,NULL,NULL,graduated,0,1,NULL,0
700182411,00:00.0,undergrad,00:00.0,West Virginia Institute of Technology,BSN,0,0,0,0,0,0,NULL,NULL,NULL,graduated,0,1,NULL,0
700183190,00:00.0,undergrad,00:00.0,Virginia Wesleyan College,BA/BS,2.87,10,0,146,0,378,Biology/Chemistry,NULL,NULL,graduated,0,0,NULL,0
700183773,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BSN,3.61,15,NULL,168,155,561,Nursing,NULL,NULL,graduated,0,1,NULL,0
700184154,00:00.0,undergrad,00:00.0,Mountain State University,BSN,0,0,0,0,0,0,NULL,NULL,NULL,NULL,0,0,expected to graduate in August 2006.,0
700185165,00:00.0,undergrad,00:00.0,Marshall University,NULL,3.19,31,99,31,31,0,NULL,NULL,NULL,to WVU Nursing,0,0,NULL,0
700185165,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BSN,3.62,117,117,117,117,438,Nursing,NULL,NULL,graduated,0,1,NULL,0
700185197,00:00.0,undergrad,00:00.0,West Virginia University at Charleston,BSN,3.49,0,0,145,57,199,Nursing,NULL,NULL,graduated,0,1,NULL,NULL
700185431,00:00.0,graduate,00:00.0,West Virginia University at Morgantown,MSN,3.84,0,0,50,50,192,Nursing,NULL,"Simoni, Patricia",graduated,0,1,NULL,0
700185754,00:00.0,graduate,00:00.0,West Virginia University at Morgantown,MA,2.8,0,0,44,44,123,"Agr, Forestry & Consumer Sci",NULL,NULL,graduated,0,0,NULL,0
700187728,00:00.0,undergrad,00:00.0,Bluefield State College,BSN,0,0,0,0,0,0,NULL,NULL,NULL,graduated,0,0,NULL,0
700187830,00:00.0,graduate,NULL,University of Phoenix,MSN,NULL,NULL,NULL,NULL,NULL,NULL,Nursing,NULL,NULL,NULL,0,1,"no transcript, according to application, should graduate 09/2006 with MSN",0
700188986,00:00.0,assoc.,00:00.0,Manatee Community College,Assoc.,3.21,0,0,90,124,289,Nursing,NULL,NULL,graduated,0,1,NULL,NULL
700190211,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BSN,3.77,0,0,93,88,332,Nursing,NULL,NULL,graduated,0,1,NULL,NULL
700190750,00:00.0,undergrad,00:00.0,Waynesburg College,BSN,3.68,0,0,75,75,275,Nursing,NULL,NULL,graduated,0,1,NULL,0
700191985,00:00.0,graduate,00:00.0,West Virginia University at Morgantown,Other Masters,3.3543,0,0,209,206,691,Dental Hygiene,NULL,NULL,graduated,0,0,NULL,0
700192345,00:00.0,assoc.,00:00.0,West Virginia Institute of Technology,Assoc.,3.0625,0,0,32,32,98,Nursing,NULL,NULL,graduated,0,1,NULL,0
700192678,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BA,NULL,0,0,NULL,0,0,Visual Art,NULL,NULL,graduated,0,0,NULL,0
700193271,00:00.0,undergrad,00:00.0,Fairmont State University,BA/BS,2.13,0,0,111,110,235,Psychology,NULL,NULL,NULL,0,0,will graduate May 2007,0
700193405,00:00.0,diploma,00:00.0,Saint Vincent Health Center School of Nursing,Diploma,3.6,0,0,89,3.6,325,Nursing,NULL,NULL,graduated,0,0,NULL,0
700193407,00:00.0,assoc.,NULL,NULL,NULL,0,0,0,0,0,0,NULL,NULL,NULL,NULL,0,0,NULL,0
700194137,00:00.0,undergrad,00:00.0,University of Charleston,Assoc.,2.9,0,0,77,77,224,Nursing,NULL,NULL,NULL,0,1,NULL,0
700195703,00:00.0,undergrad,00:00.0,Waynesburg College,BSN,4,0,0,0,0,0,Nursing,NULL,NULL,graduated,0,1,NULL,0
700195703,00:00.0,graduate,00:00.0,Waynesburg College,MSN,4,0,0,0,0,0,Nursing,NULL,NULL,graduated,0,0,NULL,0
700195856,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BA/BS,0,0,0,0,0,0,Animal and Veterinary Sciences,NULL,NULL,graduated,0,0,NULL,0
700195930,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,NULL,2.77,17,27,146,132,366,Exercise Physiology,NULL,NULL,NULL,0,0,graduating 12/28/06 w/BS-Ex. Phys. Degree,0
700196570,00:00.0,undergrad,00:00.0,Slippery Rock University,BA/BS,2.84,0,0,125,125,355,Community Health,NULL,NULL,graduated,0,0,NULL,0
700196839,00:00.0,undergrad,00:00.0,Marshall University,BSN,2.55,0,0,139,142,363,Nursing,NULL,NULL,graduated,0,1,NULL,0
700198337,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BA/BS,2.53,0,0,128,132,334,Multidisciplinary Studies,NULL,NULL,graduated,0,0,NULL,0
700198851,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BA/BS,3.1,0,0,148,146,454,French & Psychology,NULL,NULL,graduated,0,0,NULL,4
700198851,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BSN,3.26,0,0,217,196,639,Nursing,NULL,Michele Godwin,graduated,0,1,NULL,13
700199632,00:00.0,undergrad,00:00.0,Shepherd College,BSN,3.27,0,0,130,130,426,Nursing,NULL,NULL,graduated,0,1,NULL,0
700200002,00:00.0,undergrad,NULL,West Virginia University at Morgantown,NULL,0,0,0,0,0,0,Child Development & Family Studies,NULL,NULL,NULL,0,0,student to graduate in May 2007,0
700202105,00:00.0,undergrad,00:00.0,West Virginia Institute of Technology,BSN,0,0,0,0,0,0,Nursing,NULL,NULL,NULL,0,1,NULL,0
700202707,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BSN,0,0,0,0,0,0,Nursing,NULL,NULL,graduated,0,1,NULL,0
700203652,00:00.0,undergrad,00:00.0,University of Wisconsin,BA/BS,3.14,0,0,90,3.14,285.5,NULL,NULL,NULL,graduated,0,0," Has BS in Natural Science, May 27, 1979.",0
700203926,00:00.0,undergrad,NULL,West Virginia Institute of Technology,NULL,0,0,0,0,0,0,NULL,NULL,NULL,NULL,0,1,Waiting on official transcript.,0
700204521,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BSN,2.59,0,0,173,44,114,Nursing,NULL,NULL,graduated,0,0,NULL,0
700206872,00:00.0,assoc.,00:00.0,Fairmont State University,Assoc.,3.13,0,0,128,128,401,Nursing,NULL,NULL,graduated,0,1,NULL,0
700206872,00:00.0,undergrad,NULL,Fairmont State University,NULL,4,0,0,16,16,64,NULL,NULL,NULL,NULL,0,0,NULL,0
700207038,00:00.0,assoc.,00:00.0,The University of Charleston,Assoc.,2.83,0,0,NULL,112,317,Nursing,NULL,NULL,graduated,0,0,NULL,0
700207293,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BSN,3.69,7,0,161,146,540,Nursing,NULL,NULL,graduated,0,1,NULL,0
700207921,00:00.0,assoc.,00:00.0,Fairmont State University,Assoc.,3.477,0,0,111,111,386,Nursing,NULL,NULL,graduated,0,1,NULL,0
700208003,00:00.0,graduate,00:00.0,West Virginia University at Morgantown,MSN,3.74,0,0,59,59,221,Nursing,NULL,NULL,graduated,0,1,NULL,0
700208118,00:00.0,undergrad,00:00.0,West Virginia State College,BA/BS,3.59,0,0,0,0,0,Biology,NULL,NULL,graduated,0,0,NULL,0
700208118,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BSN,4,0,0,60,47,188,Nursing,NULL,Michele Godwin,graduated,0,0,NULL,0
700208435,00:00.0,undergrad,00:00.0,West Virginia University at Morgantown,BSN,4,0,0,32,128,128,Nursing,NULL,NULL,graduated,0,1,NULL,0
700208689,00:00.0,graduate,00:00.0,West Virginia University at Morgantown,Other Masters,3.82,0,0,67,51,195,Rehabilitation Counseling,NULL,NULL,graduated,0,0,NULL,0
700208983,00:00.0,assoc.,00:00.0,West Virginia University at Parkersburg,Assoc.,2.24,0,0,111,120,269,Nursing,NULL,NULL,graduated,0,1,NULL,0
700209822,00:00.0,undergrad,00:00.0,West Virginia Institute of Technology,BSN,3.43,0,0,144,132,454,Nursing,NULL,NULL,graduated,0,1,NULL,0
700209945,00:00.0,graduate,00:00.0,West Virginia University at Charleston,MSN,3.77,0,0,44,44,166,Nursing,NULL,NULL,graduated,0,1,NULL,0
