**********************
PowerShell transcript start
Current Computer: SDW13123
Current Computer: SDW13025
Current Computer: SDW13033
Current Computer: SDW13117
Current Computer: SDW13096
Current Computer: SDW13097
Current Computer: SDW13090
Current Computer: SDA18025
Current Computer: SDA18021
Current Computer: SDW16030
Current Computer: SDA18013
Current Computer: SDA18014
Current Computer: SDW15079
Current Computer: SOD-PD-1058
Current Computer: SDW13136
Current Computer: SDL16014
Current Computer: SDW13094
Current Computer: SDW13095
Current Computer: SDW16047
Current Computer: SDW13100
Current Computer: SDW16006
Current Computer: SDA19207
Current Computer: SDA17011
Current Computer: SDW16024
Current Computer: SDW13085
Current Computer: SDW15068
Current Computer: SDW15067
Current Computer: SDW15066
Current Computer: SDW15070
Current Computer: SDW16075
Current Computer: SDW16031
Current Computer: SDW16074
Current Computer: SDW16048
Current Computer: SOD-4K
Current Computer: SDW15085
Current Computer: SDA19203
Current Computer: SDA18017
Current Computer: SDA18018
Current Computer: SDA18019
Current Computer: SDA18020
Current Computer: SDW18001
Current Computer: SDW13128
Current Computer: SDW13127
Current Computer: SDW13084
Current Computer: SDW13024
Current Computer: SDW13125
Current Computer: SDW13067
Current Computer: SDW13122
Current Computer: SDW13081
Current Computer: SDW13088
Current Computer: SDW13124
Current Computer: SDW13138
Current Computer: SDW16052
Current Computer: SDW16046
Current Computer: SDW13079
Current Computer: SDW15065
Current Computer: SDW19210
Current Computer: SDW16009
Current Computer: SDW13027
Current Computer: SDW13028
Current Computer: SDW13052
Current Computer: SDW13116
Current Computer: SDW13050
Current Computer: SDL16006
Current Computer: SDL16009
Current Computer: SDL16010
Current Computer: SDL16012
Current Computer: SDL16011
Current Computer: SDW13053
Current Computer: SDL16018
Current Computer: SDL16019
Current Computer: SDW13006
Current Computer: SDW13082
Current Computer: SDW13083
Current Computer: SDL16034
Current Computer: SDL16033
Current Computer: SDL16032
Current Computer: SDW13013
Current Computer: SDW13071
Current Computer: SDW13054
Current Computer: SDW13055
Current Computer: SOD-SURGERY-A
Current Computer: SOD-SURGERY-B
Current Computer: SOD-SURGERY-C
Current Computer: SDL16046
Current Computer: SDA18001
Current Computer: SDA18002
Current Computer: SDA18003
Current Computer: SDA18004
Current Computer: SDA18005
Current Computer: SDA18006
Current Computer: SDA18007
Current Computer: SDA18008
Current Computer: SDA18009
Current Computer: SDA18010
Current Computer: SDA18011
Current Computer: SDA18012
Current Computer: SDW13075
Current Computer: SDW16012
Current Computer: SOD-LAB-1103
Current Computer: ITS-1106
Current Computer: ITS-1107
Current Computer: SDW16083
Current Computer: SDL16049
Current Computer: SDW13056
Current Computer: SDW13134
Current Computer: SDW16041
Current Computer: SDW16018
Current Computer: SDA19204
Current Computer: SDW13101
Current Computer: SDW13015
Current Computer: SDW15008
Current Computer: SDW13001
Current Computer: SDW16049
Current Computer: SDW16081
Current Computer: SOD-DHAID
Current Computer: SDL14001
Current Computer: SDL16036
Current Computer: SDL16047
Current Computer: SDL16008
Current Computer: SDL16041
Current Computer: SDW16008
Current Computer: SDL16042
Current Computer: SDW15071
Current Computer: SDW15072
Current Computer: SDW15074
Current Computer: SDW15075
Current Computer: SDW15076
Current Computer: SDW16027
Current Computer: SDW13038
Current Computer: SDL16052
Current Computer: SDW13135
Current Computer: SDL16003
Current Computer: SDW15086
Current Computer: SDW16007
Current Computer: SDW13118
Current Computer: SDW13126
Current Computer: SDW16045
Current Computer: SDA18015
Current Computer: SDA18016
Current Computer: SDW16015
Current Computer: SDW12025
Current Computer: SDL2012001
Current Computer: SDW16017
Current Computer: SDW15088
Current Computer: SDL20008
Current Computer: SDW15082
Current Computer: SDL20009
Current Computer: SDL16040
Current Computer: SDW15077
Current Computer: SDW15089
Current Computer: SDW16050
Current Computer: SDW16040
Current Computer: SDL20005
Current Computer: SDW16022
Current Computer: SDL20003
Current Computer: SDW13130
Current Computer: SDW16011
Current Computer: SDL20006
Current Computer: SDW16005
Current Computer: SDW16059
Current Computer: SDW16037
Current Computer: SDW16070
Current Computer: SDA17007
Current Computer: SDA17008
Current Computer: SDA17009
Current Computer: SDL16045
Current Computer: SDL16035
Current Computer: SDL16044
Current Computer: SDL16054
Current Computer: SDL16037
Current Computer: SDL16043
Current Computer: SDL16038
Current Computer: SDW15096
Current Computer: SDA17012
Current Computer: SDW16076
Current Computer: SDW16032
Current Computer: SDL20001
Current Computer: SDL16053
Current Computer: SDW16054
Current Computer: SDL18005
Current Computer: SDW16073
Current Computer: SDW16033
Current Computer: SDW15084
Current Computer: SDW16068
Current Computer: SDL16039
Current Computer: SDW16014
Current Computer: SDW15006
Current Computer: SDW16026
Current Computer: SDW16020
Current Computer: SDW19213
Current Computer: SDW16141
Current Computer: SDT18002
Current Computer: SDW16060
Current Computer: SDT18001
Current Computer: SOD-KEYSERVER
Current Computer: SDW13034
Current Computer: SDL2013001
Current Computer: SOD-RH-RW
Current Computer: SDW16029
Current Computer: SOD-DS-LAB1
Current Computer: SOD-DS-LAB2
Current Computer: SDW13072
Current Computer: SDL18012
Current Computer: SDW16080
Current Computer: SDW16019
Current Computer: SDW15083
Current Computer: SDL17001
Current Computer: SDW16143
Current Computer: SDW16077
Current Computer: SDW16038
Current Computer: SDW16078
Current Computer: SDW16003
Current Computer: SDW15081
Current Computer: SDW16028
Current Computer: SDL16051
Current Computer: SDW15080
Current Computer: SDL16050
Current Computer: SDW16044
Current Computer: SDL16048
Current Computer: SOD-MLAW
Current Computer: SDL18003
Current Computer: SDL17005
Current Computer: SDL17002
Current Computer: SDL18002
Current Computer: SDW16023
Current Computer: SOD-DP-03
Current Computer: SDL18001
Current Computer: SDL17006
Current Computer: SDL18004
Current Computer: SDW13044
Current Computer: SDW13063
Current Computer: SDW16053
Current Computer: SOD-DP-02
Current Computer: SDA17015
Current Computer: SDW13030
Current Computer: SDW13068
Current Computer: SDW15051
Current Computer: SDW13129
Current Computer: SDW13036
Current Computer: SDA17014
Current Computer: SDA17013
Current Computer: SDW16051
Current Computer: SDW18002
Current Computer: SDW13017
Current Computer: SDW2013018
Current Computer: SDW15087
Current Computer: SDW13070
Current Computer: SDL17007
Current Computer: SDW15045
Current Computer: SDW15061
Current Computer: SDW15038
Current Computer: SDW15014
Current Computer: SDW15028
Current Computer: SDW15063
Current Computer: SDW15029
Current Computer: SDW15016
Current Computer: SDW15057
Current Computer: SDW15026
Current Computer: SDW15027
Current Computer: SDW15024
Current Computer: SDW15059
Current Computer: SDW13137
Current Computer: SDA17019
Current Computer: SDW16079
Current Computer: SDL16007
Current Computer: SDLCARESTREAM
Current Computer: SDW13045
Current Computer: SDL16056
Current Computer: SDW13108
Current Computer: SDW13119
Current Computer: SDW13110
Current Computer: SDW13107
Current Computer: SDW13106
Current Computer: SDW13102
Current Computer: SDW13062
Current Computer: SDW13073
Current Computer: SDW13115
Current Computer: SDW13114
Current Computer: SDW13132
Current Computer: SDW13104
Current Computer: SDW13112
Current Computer: SDW13111
Current Computer: SDW13109
Current Computer: SDW13051
Current Computer: SDW13133
Current Computer: SDW13046
Current Computer: SDW13105
Current Computer: SDW16013
Current Computer: SDW17005
Current Computer: SDW17004
Current Computer: SDW17003
Current Computer: SDW17002
Current Computer: SDW17001
Current Computer: SDA19205
Current Computer: SDW17006
Current Computer: SDW16064
Current Computer: SDW15047
Current Computer: SDW15049
Current Computer: SDW13016
Current Computer: SDW16082
Current Computer: SDW16036
Current Computer: SDW15039
Current Computer: SDW15043
Current Computer: SDW15044
Current Computer: SDW15048
Current Computer: SDW15052
Current Computer: SDW15050
Current Computer: SDW15031
Current Computer: SDW15064
Current Computer: SDW15046
Current Computer: SDW15040
Current Computer: SDW15062
Current Computer: SDA17016
Current Computer: SDW13066
Current Computer: SOD-STC-4531-04
Current Computer: SDW13065
Current Computer: SDW18005
Current Computer: SOD-STC-CONE
Current Computer: SDW13091
Current Computer: SDW13059
Current Computer: SDW15034
Current Computer: SDW15030
Current Computer: SDW2016004
Current Computer: SDW13018
Current Computer: SDW15036
Current Computer: SDW15056
Current Computer: SDW15032
Current Computer: SDW15055
Current Computer: SDW15017
Current Computer: SDW15012
Current Computer: SDW15054
Current Computer: SDW15042
Current Computer: SDW15053
Current Computer: SDW15037
Current Computer: SDW15033
Current Computer: SDW15015
PS C:\Users\Jeff\Documents\GitHub\HSC-PowerShell-Repository\4NonScheduledTaskFiles\Remove-SODFiles> .\Remove-SODFiles.ps1
Transcript started, output file is 2021-05-06-14-49RemoveSODFiles-SessionTranscript.txt
Current Computer: SDL16005
LDAPFilter: (name=*SDL16005*)
************************
Current Computer: SDL16004
LDAPFilter: (name=*SDL16004*)
************************
Current Computer: SDW13026
LDAPFilter: (name=*SDW13026*)
************************
Current Computer: SDW13003
LDAPFilter: (name=*SDW13003*)
************************
Current Computer: SDW20001
LDAPFilter: (name=*SDW20001*)
************************
Current Computer: SDW16001
LDAPFilter: (name=*SDW16001*)
************************
Current Computer: SOD-AD-1178
LDAPFilter: (name=*SOD-AD-1178*)
************************
Current Computer: SDW13101
LDAPFilter: (name=*SDW13101*)
************************
Current Computer: SDW13004
LDAPFilter: (name=*SDW13004*)
************************
Current Computer: SDW13098
LDAPFilter: (name=*SDW13098*)
************************
Current Computer: SDW16002
LDAPFilter: (name=*SDW16002*)
************************
Current Computer: SDW16058
LDAPFilter: (name=*SDW16058*)
************************
Current Computer: SDA17010
LDAPFilter: (name=*SDA17010*)
************************
Current Computer: SDA19150
LDAPFilter: (name=*SDA19150*)
************************
Current Computer: SDA19199
LDAPFilter: (name=*SDA19199*)
************************
Current Computer: SDA19200
LDAPFilter: (name=*SDA19200*)
************************
Current Computer: SDA19201
LDAPFilter: (name=*SDA19201*)
************************
Current Computer: SDA19202
LDAPFilter: (name=*SDA19202*)
************************
Current Computer: SDA19203
LDAPFilter: (name=*SDA19203*)
************************
Current Computer: SDA19204
LDAPFilter: (name=*SDA19204*)
************************
Current Computer: SDA19206
LDAPFilter: (name=*SDA19206*)
************************
Current Computer: SDA19208
LDAPFilter: (name=*SDA19208*)
************************
Current Computer: SDW13099
LDAPFilter: (name=*SDW13099*)
************************
Current Computer: SDW13039
LDAPFilter: (name=*SDW13039*)
************************
Current Computer: SDW13043
LDAPFilter: (name=*SDW13043*)
************************
Current Computer: SDW2013004
LDAPFilter: (name=*SDW2013004*)
************************
Current Computer: SDW13041
LDAPFilter: (name=*SDW13041*)
************************
Current Computer: SDW2013003
LDAPFilter: (name=*SDW2013003*)
************************
Current Computer: SDW2013002
LDAPFilter: (name=*SDW2013002*)
************************
Current Computer: SDW13042
LDAPFilter: (name=*SDW13042*)
************************
Current Computer: SDW2013008
LDAPFilter: (name=*SDW2013008*)
************************
Current Computer: SDW13035
LDAPFilter: (name=*SDW13035*)
************************
Current Computer: SDW13064
LDAPFilter: (name=*SDW13064*)
************************
Current Computer: SDW13040
LDAPFilter: (name=*SDW13040*)
************************
Current Computer: SDW13005
LDAPFilter: (name=*SDW13005*)
************************
Current Computer: SDW16042
LDAPFilter: (name=*SDW16042*)
************************
Current Computer: SDW15013
LDAPFilter: (name=*SDW15013*)
************************
Current Computer: SDW15060
LDAPFilter: (name=*SDW15060*)
************************
Current Computer: SDW15025
LDAPFilter: (name=*SDW15025*)
************************
Current Computer: SDW15058
LDAPFilter: (name=*SDW15058*)
************************
Current Computer: SDW15011
LDAPFilter: (name=*SDW15011*)
************************
Current Computer: SDW15041
LDAPFilter: (name=*SDW15041*)
************************
Current Computer: SDL18007
LDAPFilter: (name=*SDL18007*)
************************
Current Computer: SDL18008
LDAPFilter: (name=*SDL18008*)
************************
Current Computer: SDL18009
LDAPFilter: (name=*SDL18009*)
************************
Current Computer: SDL18010
LDAPFilter: (name=*SDL18010*)
************************
Current Computer: SDL18011
LDAPFilter: (name=*SDL18011*)
************************
Current Computer: SDW13022
LDAPFilter: (name=*SDW13022*)
************************
Current Computer: SDL14001
LDAPFilter: (name=*SDL14001*)
************************
Current Computer: SDW18006
LDAPFilter: (name=*SDW18006*)
************************
Current Computer: SDW13121
LDAPFilter: (name=*SDW13121*)
************************
Current Computer: SDW13032
LDAPFilter: (name=*SDW13032*)
************************
Current Computer: SDW13047
LDAPFilter: (name=*SDW13047*)
************************
Current Computer: SDW2013001
LDAPFilter: (name=*SDW2013001*)
************************
Current Computer: SDW13143
LDAPFilter: (name=*SDW13143*)
************************
Current Computer: SDW13069
LDAPFilter: (name=*SDW13069*)
************************
Current Computer: SDW13078
LDAPFilter: (name=*SDW13078*)
************************
Current Computer: SOD-STC-4513-05
LDAPFilter: (name=*SOD-STC-4513-05*)
************************
Current Computer: SDW13049
LDAPFilter: (name=*SDW13049*)
************************
Current Computer: SDW13113
LDAPFilter: (name=*SDW13113*)
************************
Current Computer: SDW13061
LDAPFilter: (name=*SDW13061*)
************************
Current Computer: SDW13020
LDAPFilter: (name=*SDW13020*)
************************
Current Computer: SDW13131
LDAPFilter: (name=*SDW13131*)
************************
Current Computer: SDW13057
LDAPFilter: (name=*SDW13057*)
************************
Current Computer: SDW13031
LDAPFilter: (name=*SDW13031*)
************************
Current Computer: SDW13074
LDAPFilter: (name=*SDW13074*)
************************
Current Computer: SDW13058
LDAPFilter: (name=*SDW13058*)
************************
Current Computer: SDW13142
LDAPFilter: (name=*SDW13142*)
************************
Current Computer: SDW13103
LDAPFilter: (name=*SDW13103*)
************************
Current Computer: SDW13029
LDAPFilter: (name=*SDW13029*)
************************
Current Computer: SDW13140
LDAPFilter: (name=*SDW13140*)
************************
Current Computer: SDW13014
LDAPFilter: (name=*SDW13014*)
************************
Current Computer: SDW13120
LDAPFilter: (name=*SDW13120*)
************************
Current Computer: SDW15035
LDAPFilter: (name=*SDW15035*)
************************
Current Computer: SDW16035
LDAPFilter: (name=*SDW16035*)
************************
Current Computer: HS-SOD-DECC
LDAPFilter: (name=*HS-SOD-DECC*)
************************
Current Computer: SDW16139
LDAPFilter: (name=*SDW16139*)
************************
Current Computer: SDW16084
LDAPFilter: (name=*SDW16084*)
************************
Current Computer: SDL15000
LDAPFilter: (name=*SDL15000*)
************************
Current Computer: SDT16001
LDAPFilter: (name=*SDT16001*)
************************
Current Computer: SDL16055
LDAPFilter: (name=*SDL16055*)
************************
Current Computer: SDL16013
LDAPFilter: (name=*SDL16013*)
************************
Current Computer: SDL14002
LDAPFilter: (name=*SDL14002*)
************************
Current Computer: SDL12005
LDAPFilter: (name=*SDL12005*)
************************
Current Computer: HS-SODLOAN2
LDAPFilter: (name=*HS-SODLOAN2*)
************************
Current Computer: SDL2016001
LDAPFilter: (name=*SDL2016001*)
************************
Current Computer: SDA17001
LDAPFilter: (name=*SDA17001*)
************************
Current Computer: SDA17002
LDAPFilter: (name=*SDA17002*)
************************
Current Computer: SDA17003
LDAPFilter: (name=*SDA17003*)
************************
Current Computer: SDW16039
LDAPFilter: (name=*SDW16039*)
************************
Current Computer: SDA17018
LDAPFilter: (name=*SDA17018*)
************************
Current Computer: SDA19202
LDAPFilter: (name=*SDA19202*)
************************
Current Computer: SDW16142
LDAPFilter: (name=*SDW16142*)
************************
Current Computer: SDA17017
LDAPFilter: (name=*SDA17017*)
************************
Current Computer: SDW13092
LDAPFilter: (name=*SDW13092*)
************************
Current Computer: SDW16065
LDAPFilter: (name=*SDW16065*)
************************
Current Computer: SDW16066
LDAPFilter: (name=*SDW16066*)
************************
Current Computer: SDW16067
LDAPFilter: (name=*SDW16067*)
************************
Current Computer: SDW18007
LDAPFilter: (name=*SDW18007*)
************************
Current Computer: SDL16031
LDAPFilter: (name=*SDL16031*)
************************
Current Computer: SDL16030
LDAPFilter: (name=*SDL16030*)
************************
Current Computer: SDW13087
LDAPFilter: (name=*SDW13087*)
************************
Current Computer: SDW13021
LDAPFilter: (name=*SDW13021*)
************************
Current Computer: SDA17004
LDAPFilter: (name=*SDA17004*)
************************
Current Computer: SDW16063
LDAPFilter: (name=*SDW16063*)
************************
Current Computer: SDA17005
LDAPFilter: (name=*SDA17005*)
************************
Current Computer: SDA17006
LDAPFilter: (name=*SDA17006*)
************************
Current Computer: SDW12008
LDAPFilter: (name=*SDW12008*)
************************
Current Computer: SDW12009
LDAPFilter: (name=*SDW12009*)
************************
Current Computer: SDW12014
LDAPFilter: (name=*SDW12014*)
************************
Current Computer: SDW18004
LDAPFilter: (name=*SDW18004*)
************************
Current Computer: SDL16023
LDAPFilter: (name=*SDL16023*)
************************
Current Computer: SDL16022
LDAPFilter: (name=*SDL16022*)
************************
Current Computer: SDL16021
LDAPFilter: (name=*SDL16021*)
************************
Current Computer: SDW19212
LDAPFilter: (name=*SDW19212*)
************************
Current Computer: TBN2193468
LDAPFilter: (name=*TBN2193468*)
************************
Current Computer: SDL16020
LDAPFilter: (name=*SDL16020*)
************************
Current Computer: SDL16017
LDAPFilter: (name=*SDL16017*)
************************
Current Computer: SDW18003
LDAPFilter: (name=*SDW18003*)
************************
Current Computer: SDL16016
LDAPFilter: (name=*SDL16016*)
************************
Current Computer: SDL16015
LDAPFilter: (name=*SDL16015*)
************************
Current Computer: SDW16021
LDAPFilter: (name=*SDW16021*)
************************
Current Computer: SDW13093
LDAPFilter: (name=*SDW13093*)
************************
Current Computer: SDW16016
LDAPFilter: (name=*SDW16016*)
************************
Current Computer: SDW15007
LDAPFilter: (name=*SDW15007*)
************************
Current Computer: SDA19151
LDAPFilter: (name=*SDA19151*)
************************
Current Computer: SDA19152
LDAPFilter: (name=*SDA19152*)
************************
Current Computer: SDA19155
LDAPFilter: (name=*SDA19155*)
************************
Current Computer: SDA19153
LDAPFilter: (name=*SDA19153*)
************************
Current Computer: SDA19156
LDAPFilter: (name=*SDA19156*)
************************
Current Computer: SDA19157
LDAPFilter: (name=*SDA19157*)
************************
Current Computer: SDA19158
LDAPFilter: (name=*SDA19158*)
************************
Current Computer: SDA19162
LDAPFilter: (name=*SDA19162*)
************************
Current Computer: SDA19161
LDAPFilter: (name=*SDA19161*)
************************
Current Computer: SDA19160
LDAPFilter: (name=*SDA19160*)
************************
Current Computer: SDA19159
LDAPFilter: (name=*SDA19159*)
************************
Current Computer: SDA19172
LDAPFilter: (name=*SDA19172*)
************************
Current Computer: SDA19166
LDAPFilter: (name=*SDA19166*)
************************
Current Computer: SDW15018
LDAPFilter: (name=*SDW15018*)
************************
Current Computer: SDA19177
LDAPFilter: (name=*SDA19177*)
************************
Current Computer: SDA19184
LDAPFilter: (name=*SDA19184*)
************************
Current Computer: SDA19167
LDAPFilter: (name=*SDA19167*)
************************
Current Computer: SDA19174
LDAPFilter: (name=*SDA19174*)
************************
Current Computer: SDA19170
LDAPFilter: (name=*SDA19170*)
************************
Current Computer: SDA19165
LDAPFilter: (name=*SDA19165*)
************************
Current Computer: SDA19173
LDAPFilter: (name=*SDA19173*)
************************
Current Computer: SDA19168
LDAPFilter: (name=*SDA19168*)
************************
Current Computer: SDA19164
LDAPFilter: (name=*SDA19164*)
************************
Current Computer: SDA19154
LDAPFilter: (name=*SDA19154*)
************************
Current Computer: SDA19163
LDAPFilter: (name=*SDA19163*)
************************
Current Computer: SDA19169
LDAPFilter: (name=*SDA19169*)
************************
Current Computer: SDW15019
LDAPFilter: (name=*SDW15019*)
************************
Current Computer: SDW15020
LDAPFilter: (name=*SDW15020*)
************************
Current Computer: SDA19181
LDAPFilter: (name=*SDA19181*)
************************
Current Computer: SDA19179
LDAPFilter: (name=*SDA19179*)
************************
Current Computer: SDA19176
LDAPFilter: (name=*SDA19176*)
************************
Current Computer: SDA19182
LDAPFilter: (name=*SDA19182*)
************************
Current Computer: SDA19171
LDAPFilter: (name=*SDA19171*)
************************
Current Computer: SDA19188
LDAPFilter: (name=*SDA19188*)
************************
Current Computer: SDA19175
LDAPFilter: (name=*SDA19175*)
************************
Current Computer: SDA19180
LDAPFilter: (name=*SDA19180*)
************************
Current Computer: SDA19178
LDAPFilter: (name=*SDA19178*)
************************
Current Computer: SDA19186
LDAPFilter: (name=*SDA19186*)
************************
Current Computer: SDA19183
LDAPFilter: (name=*SDA19183*)
************************
Current Computer: SDW15021
LDAPFilter: (name=*SDW15021*)
************************
Current Computer: SDW15022
LDAPFilter: (name=*SDW15022*)
************************
Current Computer: SDA19198
LDAPFilter: (name=*SDA19198*)
************************
Current Computer: SDA19189
LDAPFilter: (name=*SDA19189*)
************************
Current Computer: SDA19190
LDAPFilter: (name=*SDA19190*)
************************
Current Computer: SDA19197
LDAPFilter: (name=*SDA19197*)
************************
Current Computer: SDA19185
LDAPFilter: (name=*SDA19185*)
************************
Current Computer: SDA19193
LDAPFilter: (name=*SDA19193*)
************************
Current Computer: SDA19192
LDAPFilter: (name=*SDA19192*)
************************
Current Computer: SDA19195
LDAPFilter: (name=*SDA19195*)
************************
Current Computer: SDA19187
LDAPFilter: (name=*SDA19187*)
************************
Current Computer: SDA19191
LDAPFilter: (name=*SDA19191*)
************************
Current Computer: SDA19194
LDAPFilter: (name=*SDA19194*)
************************
Current Computer: SDA19196
LDAPFilter: (name=*SDA19196*)
************************
Current Computer: SDW15023
LDAPFilter: (name=*SDW15023*)
************************
Current Computer: SDL16024
LDAPFilter: (name=*SDL16024*)
************************
Current Computer: SDL16025
LDAPFilter: (name=*SDL16025*)
************************
Current Computer: SDL16026
LDAPFilter: (name=*SDL16026*)
************************
Current Computer: SDL16027
LDAPFilter: (name=*SDL16027*)
************************
Current Computer: SDL16028
LDAPFilter: (name=*SDL16028*)
************************
Current Computer: SDL16029
LDAPFilter: (name=*SDL16029*)
************************
Current Computer: SDA18024
LDAPFilter: (name=*SDA18024*)
************************
Current Computer: SDA18023
LDAPFilter: (name=*SDA18023*)
************************
Current Computer: SDA18028
LDAPFilter: (name=*SDA18028*)
************************
Current Computer: SDA18026
LDAPFilter: (name=*SDA18026*)
************************
Current Computer: SDA18027
LDAPFilter: (name=*SDA18027*)
************************
Current Computer: SDA18022
LDAPFilter: (name=*SDA18022*)
************************
Current Computer: SDW19211
LDAPFilter: (name=*SDW19211*)
************************
Current Computer: SDW13023
LDAPFilter: (name=*SDW13023*)
************************
Current Computer: SDA19209
LDAPFilter: (name=*SDA19209*)
************************
Current Computer: SDW13123
LDAPFilter: (name=*SDW13123*)
************************
Current Computer: SDW13025
LDAPFilter: (name=*SDW13025*)
************************
Current Computer: SDW13033
LDAPFilter: (name=*SDW13033*)
************************
Current Computer: SDW13117
